// gen_swimmers --poly=60,10:-30.36,-32.84:-4.66,-87.05:85.7,-44.22 --swimmers=12 --unreg=0 --sep=7
// Lowest dist between swimmers: 7.28
poly = pts={60,10:-30.36,-32.84:-4.66,-87.05:85.7,-44.22}
swimmer = name=p01, x=64, y=-46
swimmer = name=p02, x=-14, y=-59
swimmer = name=p03, x=22, y=-74
swimmer = name=p04, x=-11, y=-36
swimmer = name=p05, x=19, y=-12
swimmer = name=p06, x=60, y=-55
swimmer = name=p07, x=36, y=-5
swimmer = name=p08, x=14, y=-58
swimmer = name=p09, x=6, y=-57
swimmer = name=p10, x=57, y=-44
swimmer = name=p11, x=15, y=-68
swimmer = name=p12, x=12, y=-50
